id,seasondrill_id,type,ordering,start_date,end_date,description,comment,checked_out,checked_out_time,published
1399,183,20,1234,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1400,183,24,1235,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1401,183,21,1236,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1402,183,19,1237,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1403,183,25,1238,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1404,183,26,1239,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1405,183,6,1240,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1406,184,23,1241,NULL,NULL,,,0,0000-00-00 00:00:00,1
1407,184,12,1242,NULL,NULL,,,0,0000-00-00 00:00:00,1
1408,184,20,1243,NULL,NULL,,,0,7/22/2014 1:33,1
1409,184,24,1244,NULL,NULL,,,0,7/22/2014 1:33,1
1410,184,21,1245,NULL,NULL,,,0,7/22/2014 1:33,1
1411,184,19,1246,NULL,NULL,,,0,7/22/2014 1:33,1
1412,184,14,1247,NULL,NULL,,,0,7/22/2014 1:33,1
1413,184,26,1248,NULL,NULL,,,0,7/22/2014 1:34,1
1414,184,6,1249,NULL,NULL,,,0,7/22/2014 1:34,1
1415,185,27,1250,NULL,NULL,,,0,0000-00-00 00:00:00,1
1416,185,23,1251,NULL,NULL,,,0,0000-00-00 00:00:00,1
1417,185,12,1252,NULL,NULL,,,0,0000-00-00 00:00:00,1
1418,185,20,1253,NULL,NULL,,,0,0000-00-00 00:00:00,1
1419,185,21,1255,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1420,185,24,1254,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1421,185,19,1256,NULL,NULL,,,0,0000-00-00 00:00:00,1
1422,185,25,1257,NULL,NULL,,,0,0000-00-00 00:00:00,1
1423,185,26,1258,NULL,NULL,,,0,0000-00-00 00:00:00,1
1424,185,6,1259,NULL,NULL,,,0,0000-00-00 00:00:00,1
1425,208,1,1260,NULL,NULL,,,0,0000-00-00 00:00:00,1
1426,208,20,1261,NULL,NULL,,,0,0000-00-00 00:00:00,1
1427,208,21,1262,NULL,NULL,,,0,0000-00-00 00:00:00,1
1428,208,19,1263,NULL,NULL,,,0,0000-00-00 00:00:00,1
1429,208,14,1264,NULL,NULL,,,0,0000-00-00 00:00:00,1
1430,208,6,1265,NULL,NULL,,,0,0000-00-00 00:00:00,1
1431,208,18,1266,NULL,NULL,,,0,0000-00-00 00:00:00,1
1432,208,8,1267,NULL,NULL,,,0,0000-00-00 00:00:00,1
1436,204,17,1271,NULL,NULL,,,0,0000-00-00 00:00:00,1
1433,204,1,1268,NULL,NULL,,,0,0000-00-00 00:00:00,1
1434,204,12,1269,NULL,NULL,,,0,0000-00-00 00:00:00,1
1435,204,2,1270,NULL,NULL,,,0,0000-00-00 00:00:00,1
1437,204,3,1272,NULL,NULL,,,0,0000-00-00 00:00:00,1
1438,204,4,1273,NULL,NULL,,,0,0000-00-00 00:00:00,1
1439,204,5,1274,NULL,NULL,,,0,0000-00-00 00:00:00,1
1440,204,16,1,0000-00-00 00:00:00,,,,0,0000-00-00 00:00:00,1
1441,204,13,1276,NULL,NULL,,,0,0000-00-00 00:00:00,1
1442,204,7,1277,NULL,NULL,,,0,0000-00-00 00:00:00,1
1443,204,6,1278,NULL,NULL,,,0,0000-00-00 00:00:00,1
1444,204,14,1279,NULL,NULL,,,0,0000-00-00 00:00:00,1
1445,204,8,1280,NULL,NULL,,,0,0000-00-00 00:00:00,1
1446,178,160,1,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1447,213,12,1283,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1448,213,1,1282,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1449,213,2,1284,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1450,213,17,1285,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1451,213,3,1286,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1452,213,4,1287,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1453,213,5,1288,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1454,213,13,1290,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1455,213,16,1289,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1456,213,7,1291,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1457,213,6,1293,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1458,213,18,1292,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1459,213,8,1294,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1460,213,129,1,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1461,207,1,1295,NULL,NULL,,,0,0000-00-00 00:00:00,1
1462,207,20,1296,NULL,NULL,,,0,0000-00-00 00:00:00,1
1463,207,21,1297,NULL,NULL,,,0,0000-00-00 00:00:00,1
1464,207,19,1298,NULL,NULL,,,0,0000-00-00 00:00:00,1
1465,207,14,1299,NULL,NULL,,,0,0000-00-00 00:00:00,1
1466,207,6,1300,NULL,NULL,,,0,0000-00-00 00:00:00,1
1467,207,18,1301,NULL,NULL,,,0,0000-00-00 00:00:00,1
1468,207,8,1302,NULL,NULL,,,0,0000-00-00 00:00:00,1
1469,206,42,1303,NULL,NULL,,,0,0000-00-00 00:00:00,0
1471,206,78,1304,NULL,NULL,,,0,0000-00-00 00:00:00,0
1472,206,72,1305,NULL,NULL,,,0,9/12/2014 20:28,0
1473,206,80,1306,NULL,NULL,,,0,9/12/2014 20:28,0
1474,206,57,1307,NULL,NULL,,,0,9/12/2014 20:29,0
1475,206,54,1308,NULL,NULL,,,0,9/12/2014 20:29,0
1476,206,76,1309,NULL,NULL,,,0,9/12/2014 20:29,0
1477,206,49,1310,NULL,NULL,,,0,9/12/2014 20:29,0
1478,206,59,1311,NULL,NULL,,,0,9/12/2014 20:30,0
1479,207,12,1312,NULL,NULL,,,0,0000-00-00 00:00:00,1
1480,226,129,1313,0000-00-00 00:00:00,0,,,0,5/6/2015 13:26,1
1481,226,1,1314,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1482,226,2,1315,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1483,226,3,1316,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1484,226,4,1317,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1485,226,5,1318,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
