"id","name","alias","description","ordering","checked_out","checked_out_time","published"
"71","Point Pleasant Invitational (RP)","point-pleasant-invitational-rp",,"0","0","2012-08-28 14:45:33","0"
"72","2nd Battalion Drill","2nd-battalion-drill",,"0","0","0000-00-00 00:00:00","0"
"73","3rd Battalion Drill","3rd-battalion-drill",,"0","0","2012-08-29 14:23:16","0"
"74","4th Battalion Drill","4th-battalion-drill",,"0","0","2012-08-29 14:23:28","0"
"75","Town of Oyster Bay/N. Hempstead ","town-of-oyster-bayn-hempstead-",,"0","0","0000-00-00 00:00:00","1"
"76","7th Batt. / Town of Hempstead Drill ","7th-batt--town-of-hempstead-drill-",,"0","0","2013-05-04 22:29:15","1"
"77","Brookhaven Town Motorized Drill","brookhaven-town-motorized-drill",,"0","0","2013-05-04 22:29:31","1"
"78","Selden Invitational Drill","selden-invitational-drill","<p><!--                                --> 

<span class=""noprint"">
<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch_green.png"" border=""0"" />
<span style="" position: relative; left: 3px; top: -4px;"">
<a href=""#total""> <span style=""color:green;"">Total Points</span>
</a>     |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">

<span style=""color: #1a6b97; position: relative; top: 1px;"">Print All</span>


</a>     |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&view=map&id=12&Itemid=193""><span style=""color: #1a6b97; position: relative; top: 1px;"">Track</span>



</a>     |      <span style=""position: relative; left: 0px; top: 4px;""> 




<img src=""images/stopwatch.png"" border=""0"" /> </span> 



<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ -->
<!--                                -->
<a href=""#""> <!--                                -->

<!--                                -->
<span style=""color:#a6332c; position: relative; top: 1px;""> Classic Scorecard</span>
</a> 
</span>
</span>
</span>
</p>","0","0","0000-00-00 00:00:00","1"
"79","New York State Motorized Drill at Hempst","new-york-state-motorized-drill-at-hempst","<div style=""height:29px; padding:10px; background-color:#F1F1F1;"">  <a href=""http://www.ustream.tv/channel/nys-fire-dept-drill-team-racing"" target=""blank""></span><img src=""images/btn_on_demant.png""></a>       <span style=""position:relative; top:-7px; color:red; font-weight: bold; font-size:14px;"">Saturday, August 17th • Drill Time: 8am</div><br />","0","0","0000-00-00 00:00:00","0"
"80","Hagerman Annual Labor Day Weekend Drill","hagerman-annual-labor-day-weekend-drill","<div style=""height: 21px; padding: 10px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Saturday, September 5th • Drill Time: 10am / (Rain Date 9/6 at 12:00 pm)</span></div>
<p><br /> <br /><br /></p>
<!--                                -->
<p><span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |   <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""color: #3b758d; position: relative; top: 1px;"">Print All</span></a> |    <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&amp;view=map&amp;id=1&amp;Itemid=32""><span style=""color: #3b758d; position: relative; top: 1px;"">Track Location</span></a></span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"81","Old Fashioned Invitational Drill","old-fashioned-invitational-drill",,"0","0","0000-00-00 00:00:00","1"
"82","Sheridan Park/Point Invitational Drill","sheridan-parkpoint-invitational-drill",,"0","0","0000-00-00 00:00:00","0"
"83","Selden Junior Invitational Drill","selden-junior-invitational-drill",,"0","0","2013-05-19 02:16:46","1"
"84","Bayville Invitational Drill","bayville-invitational-drill","<div style=""height:21px; padding:10px; background-color:#F1F1F1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Saturday, September 7th • Drill Time: 1pm / (Rain Date 9/21)</span></div>

<br /><br />

<!--                                --> 
<span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>

&nbsp;&nbsp;&nbsp; |&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">
<span style=""color: #3B758D; position: relative; top: 1px;"">Print All</span></a>  

&nbsp;&nbsp;&nbsp;| &nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&view=map&id=27&Itemid=217""><span style=""color: #3B758D; position: relative; top: 1px;"">Track Location</span></a>

              

</p>","0","0","0000-00-00 00:00:00","1"
"85","Zach Bernstein Memorial Drill","zach-bernstein-memorial-drill","<p>Water Time: 4.72</p>","0","0","0000-00-00 00:00:00","1"
"86","Town of Testgrounds","town-of-testgrounds",,"0","0","2014-04-22 15:41:48","0"
"87","West Carthage Invitational Drill","west-carthage-invitational-drill",,"0","0","2014-04-30 01:22:07","0"
"88","Suffolk County Motorized Drill","suffolk-county-motorized-drill","<p>Water-  4.63</p>","0","0","0000-00-00 00:00:00","0"
"89","Riverhead Invitational Drill","riverhead-invitational-drill",,"0","0","0000-00-00 00:00:00","0"
"90","Central Islip Invitational Drill","central-islip-invitational-drill",,"0","0","2014-05-10 10:34:41","0"
"91","Hagerman Labor Day Drill","hagerman-labor-day-drill",,"0","0","2014-05-10 10:36:28","0"
"92","Miller Place / Rocky Point OF Drill ","miller-place--rocky-point-of-drill-",,"0","0","2014-06-11 17:22:01","0"
"93","Long Island Championship (OF)","long-island-championship-of",,"0","0","0000-00-00 00:00:00","0"
"94","2nd & 4th Battalion Invitational","lynbrook-invite-a-2nd-a-4th-batt",,"0","0","0000-00-00 00:00:00","1"
"95","Test Drill","test-drill",,"0","0","0000-00-00 00:00:00","1"
"96","Mike Esposito Memorial Drill","mike-esposito-memorial-drill",,"0","0","2016-05-22 15:51:20","0"
"97","Nassau County Charity Drill","nassau-county-charity-drill",,"0","0","2016-06-04 05:58:05","0"
"98","WNY Drill","wny-drill",,"0","0","2016-06-06 14:32:59","1"
